id,name,type,industry
Domain_80649565f8ee37cf37c433ba35aea119763c4567f51b657d361442968bb70558,80649565f8.com,Domain,['B']
Domain_f8c51dca739bf3f28cc384e1f4621f6495294c4e442df20004e6b3b7d75cd31f,f8c51dca73.com,Domain,['B']
Domain_0663103ee042ce18927411a3b7cb5b30850e06a7c3a77dfa5d62275d8558aea0,0663103ee0.com,Domain,['B']
Domain_34c1495da452eb30eed174690ae80d3744f0f364d7b796d8bd942f6456de11c5,34c1495da4.com,Domain,"['A', 'B']"
Domain_a5956537130fba5b3ed2e91fe6f512e74234a7f948c65ae2161874f86550e3b0,a595653713.com,Domain,['B']
Domain_d1d1adc88836d2fc1aa11c17bf951b5509922152523e6b644647025d3afec989,d1d1adc888.com,Domain,[]
Domain_7e17212ad38514079e40596bab7e77da337ebc7d74d3482fb7c1ea281977a189,7e17212ad3.com,Domain,['B']
Domain_3acf6cbaa2766bb8dc8ac4319a6531999ddc96afccf448f0b6bac4f0522a3455,3acf6cbaa2.com,Domain,['B']
Domain_ca484a80d629c2625820761746692f177de6fee9b51a0b8d3f9097d159196e7a,ca484a80d6.com,Domain,['B']
Domain_905ec49c5e5ab15aad520460a950ef9d65d48b1b43a1ee57d1e7b162b18bab56,905ec49c5e.com,Domain,['B']
Domain_6051a38a84645c3fe2f96fd2532ed9860dab21ac0d6af4b683b27f42c054fecb,6051a38a84.com,Domain,['B']
Domain_31b5f39430a346b16db41dccd0dedcbc9a2b576b676b3eecf2c4bd981e79bbbe,31b5f39430.com,Domain,['B']
Domain_451839eae8b048544928ff40941e7d0c71c7b1a7da8257c63e94fb9dcd57e9dc,451839eae8.com,Domain,['B']
Domain_b918ffc8890b68250c8fc3375e9dc171e99407aa920d4f0f76233792ff19aa11,b918ffc889.com,Domain,[]
Domain_0662d0dcfb055708164837e9677515939ebc47e2374d13214901c1cc1d1154cb,0662d0dcfb.com,Domain,[]
Domain_6e42d7a851c4fc8f6eeaed27e916d38a4801ee209c655d945ece02e147fb61b2,6e42d7a851.com,Domain,['B']
Domain_953ca20f7538f258ef6813be9c8c05a19a066be8996ce2db3024ca8001ffe144,953ca20f75.com,Domain,"['A', 'B']"
Domain_958a0478baa22ea18bd749fe0ac737b5c9d2d6c6d178cb964faf8cc2af70f247,958a0478ba.com,Domain,['B']
Domain_147b03dbd386af763aceef0afeb01ef662a85c4a4e38bbfb24069af094714721,147b03dbd3.com,Domain,['B']
Domain_76dcfe8e1560774e1bfcf3699352a4860bc486ce4391634dcddacb1cc837d121,76dcfe8e15.com,Domain,['B']
Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea,3aa9c13836,Cert,[]
Domain_a474939778c565cbf2ab89dd3e68594e76844d5285470f755c946c41307b62f1,a474939778.com,Domain,['B']
Domain_528408170dd64ae1a94e4dc689696c3d3ed07f0fe9e0980d24820a1ae816b0c9,528408170d.com,Domain,['B']
Domain_b52d9aae293506fa729f029097b20ac6c8099ba1e240eeb4a18951834531b308,b52d9aae29.com,Domain,['B']
Domain_2ab5d3700c7e5fe03c6df64f17eb595f09e9ffd00423d4309dab5eb32884be60,2ab5d3700c.com,Domain,['B']
Domain_047cc2df20a84dd3749a2fd9cc1d1f5f2a617f6559a5012502f4c931a2c31a4b,047cc2df20.com,Domain,['B']
Domain_1309edefdb5a19f9ec186d5147cb7e38b21849e9338f1606f0a5def4e248338f,1309edefdb.com,Domain,['B']
Domain_f76dc4daa45e825400f2655bc9763afd74aa1ebbb4675949f3d250fb5ad97f97,f76dc4daa4.com,Domain,[]
Domain_d71613ba78c2c36742196f73767513a67eb456b9de1fae75c94dd582af48157a,d71613ba78.com,Domain,"['A', 'B']"
Domain_73dfffe066923c2b5ffb00f1cde352b8a802fbcba952fbeb3854f4deb84ba33f,73dfffe066.com,Domain,['B']
Cert_6181511cce40d2ef7f96d18a24346a98b00ef36267aeba4a952683c31dc69601,6181511cce,Cert,[]
Domain_a5137527023a8bdde7912a29b87caa35082ed6620fc627a928a29271941b24da,a513752702.com,Domain,['B']
Domain_faed557f81b7efbda2c72e4b0d6e269f9732c0a5583e35694e69f62ee6a0b7da,faed557f81.com,Domain,['B']
Domain_f1b03392e3d5455165e8225ac93d627e38d219897cb33f03758ee3fc5ba88e06,f1b03392e3.com,Domain,['B']
Domain_2b812a20833fba4bdedac43aeea6b191decd421da2c779a4968f0a152f6e2489,2b812a2083.com,Domain,['B']
